objectid,oceans,measurement,lat,long,year
21956,Atlantic Ocean,0.94,17.94878,-76.83517,2017
9954,Atlantic Ocean,0.018,-54.7376,-63.8629,2016
11983,Pacific Ocean,0.092784,-19.9823,174.9867,2012
13938,Atlantic Ocean,703.0,3.652681,-49.193139,2018
14036,Atlantic Ocean,0.040009,56.1245,-2.390667,2014
9659,Atlantic Ocean,0.001,58.2773,8.9017,2015
13950,Atlantic Ocean,0.078347,60.596667,1.341,2014
10950,Arctic Ocean,0.0,76.862767,126.131183,2019
14577,Atlantic Ocean,6.0,34.494514,-13.102899,2015
10987,Atlantic Ocean,0.935516,32.6775,34.920833,2013
21561,Pacific Ocean,0.513641,33.17,133.83,2014
11282,Atlantic Ocean,0.006734,43.3204,5.3147,2018
14282,Atlantic Ocean,0.066147,58.103,-14.364667,2019
13606,Atlantic Ocean,0.0,36.88745,-7.704033,2019
9622,Atlantic Ocean,0.109,22.0667,-64.4834,2015
13503,Indian Ocean,0.046752,-12.241667,96.471667,2018
12175,Pacific Ocean,0.53,0.0,-86.0,2017
21916,Indian Ocean,0.354,8.634072,78.117547,2021
21910,Indian Ocean,0.3,8.744239,78.170497,2021
11434,Pacific Ocean,0.10738,-26.47898,-105.36417,2015
11096,Atlantic Ocean,0.54767,43.4316,7.8389,2013
11090,Atlantic Ocean,0.99641,43.6536,7.2356,2013
14096,Atlantic Ocean,0.008584,57.129167,-1.9935,2017
14339,Atlantic Ocean,0.043062,57.2265,-1.912167,2020
14090,Atlantic Ocean,0.134295,55.840667,-5.7935,2016
14677,Arctic Ocean,1.296456,73.112633,130.404533,2019
13349,Atlantic Ocean,0.345602,40.26,1.848333,2017
10841,Atlantic Ocean,0.504667,41.373055,2.191604,2021
13752,Atlantic Ocean,0.089249,48.113667,-4.628667,2020
10847,Atlantic Ocean,0.26,39.925,19.282,2014
9513,Atlantic Ocean,0.007,26.39,-16.0594,2014
21661,Pacific Ocean,2400.0,21.838293,108.533975,2017
9762,Atlantic Ocean,0.016,38.8992,-76.4797,2015
9175,Atlantic Ocean,0.0,18.7328,-35.6793,2014
8926,Atlantic Ocean,0.0,19.005,-23.2117,2014
22254,Atlantic Ocean,18.1,27.61,-82.7832,2017
9519,Atlantic Ocean,0.004,13.4679,-57.3867,2014
9613,Atlantic Ocean,0.02,-40.7843,-56.8301,2015
10160,Indian Ocean,0.080999,-41.92197,144.54192,2011
10154,Pacific Ocean,0.00262,-41.13447,152.28345,2011
12121,Pacific Ocean,0.273054,-32.5685,-87.4243,2011
11488,Atlantic Ocean,0.06541,-25.8957,-35.3693,2010
13652,Arctic Ocean,0.342259,61.85905,5.269233,2019
11777,Pacific Ocean,0.403431,-28.7311,-103.5486,2011
13449,Atlantic Ocean,0.049375,44.58295,4.710717,2018
10449,Atlantic Ocean,0.809524,43.025167,9.641667,2013
13990,Atlantic Ocean,0.0,58.6395,-3.904667,2014
14439,Atlantic Ocean,0.01685,55.8055,-4.889,2021
13111,Atlantic Ocean,1.699456,39.4135,2.483333,2012
10455,Atlantic Ocean,2.744511,39.800167,7.3995,2013
10996,Atlantic Ocean,0.854621,31.7495,34.5525,2013
14777,Indian Ocean,2.666667,22.326398,91.854782,2020
8832,Atlantic Ocean,0.004,38.7202,-75.0895,2014
9121,Atlantic Ocean,0.003,14.4583,-57.0817,2014
11388,Pacific Ocean,0.040905,-27.00726,-80.57906,2015
14631,Atlantic Ocean,8.5,-19.468007,5.596789,2015
11975,Pacific Ocean,0.0,-23.2089,166.6428,2012
9716,Pacific Ocean,0.0,8.55,140.06,2016
21962,Atlantic Ocean,0.06,17.93172,-76.84303,2017
13549,Atlantic Ocean,0.12693,43.485,-9.128333,2018
11142,Atlantic Ocean,1.599813,42.5459,9.7543,2014
14385,Atlantic Ocean,0.101292,57.332,-6.855167,2022
14044,Atlantic Ocean,0.084239,56.077167,-2.996333,2014
13798,Atlantic Ocean,0.064788,38.013833,11.612333,2021
12221,Pacific Ocean,0.0279,34.961667,146.501389,2017
10060,Atlantic Ocean,0.0,37.8504,-51.483,2018
10893,Atlantic Ocean,0.554762,36.239,22.33,2017
13057,Pacific Ocean,1078.0,21.819221,113.124607,2018
9467,Atlantic Ocean,0.04,26.55,-16.2,2015
22208,Atlantic Ocean,3000.0,27.6279,-82.6415,2016
9221,Atlantic Ocean,0.004,18.9333,-41.5167,2014
10206,Pacific Ocean,0.044924,-31.03485,153.36548,2012
11534,Atlantic Ocean,0.171033,-22.5407,-6.1887,2011
12075,Indian Ocean,0.007833,-19.93632,117.10944,2013
13403,Pacific Ocean,0.016931,-16.927833,145.984,2017
14190,Atlantic Ocean,0.01667,55.763667,-4.966167,2018
13944,Atlantic Ocean,0.140195,56.136,-2.690167,2014
11288,Atlantic Ocean,0.208511,43.210898,5.406395,2018
11829,Atlantic Ocean,2.014904,42.6225,8.6588,2010
13157,Atlantic Ocean,0.463599,37.958333,-26.056667,2013
10403,Atlantic Ocean,1.163257,40.4495,19.132833,2013
13698,Atlantic Ocean,0.33955,38.8955,8.907167,2020
10747,Atlantic Ocean,1.219333,41.379079,2.194423,2021
21567,Pacific Ocean,0.327113,32.828333,133.34,2014
