typeCode,freqCode,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,cmdCode,cmdDesc,isLeaf,customsDesc,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,2023,52,2023,384,CIV,Côte d'Ivoire,X,Export,0,W00,World,0,W00,World,H6,HS,3915,"Waste, parings and scrap, of plastics",FALSE,TOTAL CPC,TOTAL MOT,8,kg,1467205,FALSE,8,kg,1467205,FALSE,1467205,FALSE,0,FALSE,,265865.766,265865.766,0,FALSE,TRUE
C,A,2023,52,2023,388,JAM,Jamaica,M,Import,0,W00,World,0,W00,World,H6,HS,3915,"Waste, parings and scrap, of plastics",FALSE,TOTAL CPC,TOTAL MOT,8,kg,68176,FALSE,8,kg,68176,FALSE,68176,FALSE,0,FALSE,131334.87,,131334.87,0,FALSE,TRUE
C,A,2023,52,2023,388,JAM,Jamaica,X,Export,0,W00,World,0,W00,World,H6,HS,3915,"Waste, parings and scrap, of plastics",FALSE,TOTAL CPC,TOTAL MOT,8,kg,16938118,FALSE,8,kg,16938118,FALSE,16938118,FALSE,0,FALSE,,5772979.87,5772979.87,0,FALSE,TRUE
C,A,2023,52,2023,392,JPN,Japan,M,Import,0,W00,World,0,W00,World,H6,HS,3915,"Waste, parings and scrap, of plastics",FALSE,TOTAL CPC,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,,FALSE,0,FALSE,4491602.934,,4491602.934,0,FALSE,TRUE
C,A,2023,52,2023,392,JPN,Japan,X,Export,0,W00,World,0,W00,World,H6,HS,3915,"Waste, parings and scrap, of plastics",FALSE,TOTAL CPC,TOTAL MOT,8,kg,606374062,FALSE,8,kg,606374062,FALSE,606374062,FALSE,0,FALSE,,265422214.732,265422214.732,0,FALSE,TRUE
C,A,2023,52,2023,398,KAZ,Kazakhstan,M,Import,0,W00,World,0,W00,World,H6,HS,3915,"Waste, parings and scrap, of plastics",FALSE,TOTAL CPC,TOTAL MOT,8,kg,577985,FALSE,8,kg,577985,FALSE,577985,FALSE,0,FALSE,225317.61,,225317.61,0,FALSE,TRUE
C,A,2023,52,2023,398,KAZ,Kazakhstan,X,Export,0,W00,World,0,W00,World,H6,HS,3915,"Waste, parings and scrap, of plastics",FALSE,TOTAL CPC,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,,FALSE,0,FALSE,,5705292.29,5705292.29,0,FALSE,TRUE
C,A,2023,52,2023,400,JOR,Jordan,M,Import,0,W00,World,0,W00,World,H6,HS,3915,"Waste, parings and scrap, of plastics",FALSE,TOTAL CPC,TOTAL MOT,8,kg,199867.867,TRUE,-1,N/A,0,FALSE,199867.867,TRUE,0,FALSE,110281.619,,110281.619,6,FALSE,TRUE
C,A,2023,52,2023,400,JOR,Jordan,X,Export,0,W00,World,0,W00,World,H6,HS,3915,"Waste, parings and scrap, of plastics",FALSE,TOTAL CPC,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,,FALSE,0,FALSE,,120862.535,120862.535,0,FALSE,TRUE
C,A,2023,52,2023,404,KEN,Kenya,M,Import,0,W00,World,0,W00,World,H6,HS,3915,"Waste, parings and scrap, of plastics",FALSE,TOTAL CPC,TOTAL MOT,8,kg,6053237.9,FALSE,8,kg,6053237.9,FALSE,6053237.9,FALSE,0,FALSE,2587357.043,,2587357.043,0,FALSE,TRUE
